stock,date,open,high,low,close,volume
TRV,29/12/2017,132.9034,133.3626,132.1804,132.5321,827560
TRV,2/1/2018,133.177,133.177,128.4479,128.956,2388813
TRV,3/1/2018,128.4235,129.7376,128.4235,129.3664,1308093
TRV,4/1/2018,130.1285,130.6864,129.3273,129.3664,1195505
TRV,5/1/2018,129.5422,129.5422,128.36,129.1319,1144062
TRV,8/1/2018,129.1319,129.3664,128.0961,128.4381,1343316
TRV,9/1/2018,129.552,131.1153,129.1709,129.4348,2120793
TRV,10/1/2018,129.4641,129.9721,128.7996,129.083,1171661
TRV,11/1/2018,129.0635,129.8305,128.6433,129.3077,1046475
TRV,12/1/2018,130.0015,131.897,129.0048,131.643,2010111
TRV,16/1/2018,132.0045,132.9132,131.3401,132.4149,1809306
TRV,17/1/2018,133.4701,134.2518,132.4246,133.7242,1730117
TRV,18/1/2018,133.9196,134.5449,133.0597,134.1932,1561201
TRV,19/1/2018,134.6035,134.8283,133.5581,134.6915,1628130
TRV,22/1/2018,134.3104,136.1571,134.1727,136.1571,2922464
TRV,23/1/2018,141.0328,143.5927,139.5183,142.9088,5048089
TRV,24/1/2018,143.5439,144.6578,142.9186,144.2376,2377533
TRV,25/1/2018,144.052,145.4688,143.583,145.0681,2213528
TRV,26/1/2018,145.9768,146.7486,144.863,145.9964,2538390
TRV,29/1/2018,146.0941,146.2602,145.1514,145.5469,1866531
TRV,30/1/2018,145.2831,146.9735,144.6089,145.3124,2397369
TRV,31/1/2018,144.9118,146.739,144.3353,146.4849,2083614
TRV,1/2/2018,146.2504,147.0321,145.3906,146.5631,1993858
TRV,2/2/2018,146.2602,147.1005,144.4233,144.5601,2297933
TRV,5/2/2018,143.2703,144.4917,136.3721,138.2774,3358918
TRV,6/2/2018,133.8805,137.9745,133.2063,137.6227,3932062
TRV,7/2/2018,136.8704,140.6392,136.7531,138.8832,3034197
TRV,8/2/2018,138.2774,138.7269,131.8188,131.9166,3160342
TRV,9/2/2018,132.7959,134.9846,129.7181,133.9391,3655399
TRV,12/2/2018,134.1248,135.9812,132.962,134.9748,2404566
TRV,13/2/2018,134.4863,135.6393,133.5874,135.4048,1282274
TRV,14/2/2018,134.4765,137.6521,134.4765,137.3785,1907066
TRV,15/2/2018,138.6975,138.9809,136.6994,137.6521,1406212
TRV,16/2/2018,137.7009,138.6291,137.2221,137.9256,1923925
TRV,20/2/2018,137.2612,137.5739,135.2191,135.8835,1533136
TRV,21/2/2018,136.0887,137.6911,135.3461,135.3657,1334512
TRV,22/2/2018,135.5025,136.7824,134.2029,134.4863,1744650
TRV,23/2/2018,135.1312,136.6457,134.4179,136.5382,2006265
TRV,26/2/2018,136.9974,140.1143,136.9974,139.3131,1809583
TRV,27/2/2018,139.8505,140.1241,137.8475,138.2969,1869523
TRV,28/2/2018,138.7171,139.4988,135.7077,135.8151,1462535
TRV,1/3/2018,136.206,136.7336,134.0368,135.7858,2382097
TRV,2/3/2018,134.838,135.6295,133.6265,134.7208,1844247
TRV,5/3/2018,134.8576,137.1635,134.5449,136.3818,1903189
TRV,6/3/2018,136.9192,138.2872,136.1083,138.1504,1468765
TRV,7/3/2018,137.2319,137.4908,134.3788,135.6979,1779352
TRV,8/3/2018,136.4443,137.3675,135.7371,137.1809,1657171
TRV,9/3/2018,137.7015,139.8917,137.3381,139.7641,1429169
TRV,12/3/2018,140.2453,140.6971,138.389,138.9685,1215718
TRV,13/3/2018,139.7542,140.0685,138.006,138.1827,1347461
TRV,14/3/2018,139.1551,139.1551,136.5327,137.0336,1285083
TRV,15/3/2018,137.7408,139.2926,136.8961,137.9667,1318728
TRV,16/3/2018,137.6524,139.5676,137.5345,138.8015,3954913
TRV,19/3/2018,138.7721,138.7721,137.0729,137.5247,1515235
TRV,20/3/2018,138.1336,139.5873,137.6818,138.9587,973815
TRV,21/3/2018,139.0372,140.098,137.8979,138.5854,1316311
TRV,22/3/2018,137.5149,138.1238,135.6291,135.688,2353106
TRV,23/3/2018,135.9237,136.1791,132.3682,132.4959,1690859
TRV,26/3/2018,134.1362,135.9237,133.7433,135.7568,1364547
TRV,27/3/2018,136.6997,136.6997,133.5076,134.313,1512955
TRV,28/3/2018,134.6764,136.8568,134.0576,136.3166,1788149
TRV,29/3/2018,136.9943,137.4756,136.0022,136.3854,1378018
TRV,2/4/2018,136.0514,136.2577,130.5218,132.437,2215447
TRV,3/4/2018,132.987,134.8335,132.437,134.5487,1472069
TRV,4/4/2018,132.6138,136.3363,132.1423,136.1595,1479697
TRV,5/4/2018,136.7193,137.5345,135.5898,136.8077,1209603
TRV,6/4/2018,136.0809,137.0532,133.9987,134.8041,1738587
TRV,9/4/2018,135.305,136.6407,134.038,134.7844,1758311
TRV,10/4/2018,136.2282,136.7782,134.6764,135.4032,1364147
TRV,11/4/2018,133.3799,134.6862,133.2227,134.1558,920276
TRV,12/4/2018,134.9023,135.8648,134.2933,134.8433,1094154
TRV,13/4/2018,135.9041,136.1398,133.1835,133.8612,1030611
